Title,Iteration,Year,DOI
The Information Content of Picture-Text Instructions,backward snowballing 1,1985,10.1080/00220973.1985.10806364
Comprehending Spatial and Contextual Information in Picture-Text Instructions,backward snowballing 1,1986,10.1080/00220973.1986.10806418
"The Effects of Age, Illustrations, and Task Variables on the Performance of Procedural Assembly Tasks",backward snowballing 2,1993,10.1037//0882-7974.8.3.389
"Folding a fish, making a mushroom: The role of diagrams in executing assembly procedures",backward snowballing 1,2000,10.3758/bf03211824
"Building User-Controlled 3D Models and Animations for Inherently-3D Construction Tasks: Which Tool, Which Representation?",backward snowballing 2,2001,10.1007/3-540-45348-2_18
A comparison of the usability and effectiveness of web-based delivery of instructions for inherently-3D construction tasks on handheld and desktop computers,backward snowballing 1,2003,10.1145/636600.636601
Cognitive Design Principles for Visualizations: Revealing and Instantiating,forward snowballing 1,2003,10.4324/9781003064350-3
Designing effective step-by-step assembly instructions,initial,2003,10.1145/1201775.882352
Identification and Validation of Cognitive Design Principles for Automated Generation of Assembly Instructions,initial,2004,10.1145/989863.989917
Static versus Dynamic Presentation of Procedural Instruction: Investigating the Efficacy of Video-based Delivery,backward snowballing 2,2004,https://journals.sagepub.com/doi/abs/10.1177/154193120404800712
Creating effective illustrations for pictorial assembly instructions,forward snowballing 1,2007,10.1075/idj.15.2.01sch
Significance of Configuration and Subassemblies in Sequential Procedural Instructions and Role of Text-Graphical Aid: An Explorative Study,forward snowballing 2,2007,10.1109/tpc.2007.897618
SOME ASSEMBLY REQUIRED-Effectiveness Of Interactive 3D Graphics on Mobile Devices for Object Assembly,backward snowballing 2,2007,10.5220/0002084301910196
An Assembly Line Information System Study,backward snowballing 1,2008,https://www.diva-portal.org/smash/record.jsf?dswid=-6807&pid=diva2%3A666544
The Effect of Using Animated Work Instructions Over Text and Static Graphics When Performing a Small Scale Engineering Assembly,backward snowballing 2,2008,10.1007/978-1-84800-972-1_51
All the Better to See You with: a Comparison of Approaches to Delivering Instructions for Lego Construction Tasks,forward snowballing 1,2010,10.18297/etd/3193
Do dynamic work instructions provide an advantage over static instructions in a small scale assembly task?,backward snowballing 2,2010,10.1016/j.learninstruc.2009.05.001
Presenting Information in Manual Assembly,backward snowballing 2,2011,https://www.diva-portal.org/smash/record.jsf?pid=diva2%3A525831&dswid=-6807
How to put things together,backward snowballing 1,2012,10.1111/j.1467-8705.1987.tb00086.x
An empirical evaluation of multi-media based learning of a procedural task,forward snowballing 2,2012,10.1016/j.chb.2012.01.014
Duplo Track: a real-time system for authoring and guiding duplo block assembly,backward snowballing 2,2012,10.1145/2380116.2380167
The Design of Product Instructions,forward snowballing 1,2013,10.5772/54011
Examining the Use of Model-based Work Instructions in the Aviation Maintenance Environment,forward snowballing 2,2013,10.1007/978-3-642-41501-2_9
Development of Simple Guidelines to Improve Assembly Instructions and Operator Performance,backward snowballing 1,2014,http://conferences.chalmers.se/index.php/SPS/SPS14/paper/view/1764.html
Usability of Assembly Instructions: A Case Study of Portable Toilet Cardboard,forward snowballing 2,2014,
The Influence of Different Media Instructions on Solving a Procedural Task,forward snowballing 2,2015,https://www.diva-portal.org/smash/record.jsf?pid=diva2%3A892794&dswid=636
Methods for Optimal Work Instruction Delivery: Pictograms v Images,backward snowballing 2,2015,https://pure.qub.ac.uk/en/publications/methods-for-optimal-work-instruction-delivery-pictograms-v-images/
Put it together: animating machine assembly instructions for novices,forward snowballing 1,2016,https://dspace.mit.edu/handle/1721.1/106371
An assessment of pictographic instructions derived from a virtual prototype to support construction assembly procedures,forward snowballing 1,2016,10.1016/j.autcon.2015.12.019
Evaluation of Guidelines for Assembly Instructions,forward snowballing 2,2016,10.1016/j.ifacol.2016.07.598
Does detail matter? The effect of visual detail in line drawings on task execution,forward snowballing 2,2016,10.1075/idj.22.1.05ale
A study of the effects of spatial contiguity and hierarchically structured headings in a shipboard operating and maintenance manual,forward snowballing 2,2016,10.1007/s13437-015-0090-4
Application of design principles for assembly instructions – evaluation of practitioner use,backward snowballing 1,2018,10.1016/j.procir.2018.02.011
Effects of Information Content in Work Instructions for Operator Performance,backward snowballing 2,2018,10.1016/j.promfg.2018.06.092
Concepts for digitalisation of assembly instructions for short takt times,forward snowballing 2,2021,10.1016/j.procir.2020.05.218
User‐centered development of a worker guidance system for a flexible production line,forward snowballing 2,2021,10.1002/hfm.20901
"The effect of information level of digital worker guidance systems on assembly performance, user experience and strain",forward snowballing 2,2023,10.1016/j.apergo.2022.103896
Evaluating instructional formats and performance metrics in manual assembly task,forward snowballing 1,2025,10.1177/10519815251367225
Cognitive Design Principles for Automated Generation of Visualizations,backward snowballing 1,2020,10.4324/9781003064350-3
Exploration of digitalized presentation of information for Operator 4.0: Five industrial cases,forward snowballing 2,2022,10.1016/j.cie.2022.108048
Exploring Human Perception and Cognition in Expressing and Understanding Mechanical Designs,forward snowballing 2,2025,https://repository.rit.edu/theses/12350/
Designing Video-Based Interactive Instructions,forward snowballing 1,2016,https://escholarship.org/uc/item/0m68b8hn
Automatics: Dynamically Generating Fabrication Tasks to Adapt to Varying Contexts,backward snowballing 1,2018,10.1145/3185065
The impact of work instruction simplification on operator performance and learning curve efficiency,forward snowballing 1,2025,10.1007/978-3-032-03515-8_11
Factors Affecting the Processing of Procedural Instructions: Implications for Document Design,backward snowballing 1,2004,10.1109/tpc.2004.824289
Illustrating the disassembly of 3D models,forward snowballing 2,2013,10.1016/j.cag.2013.05.020
Assessment of Information Needs in Manual Assembly,forward snowballing 1,2017,10.12783/dtetr/icpr2017/17637
Arrows are the Verbs of Diagrams,forward snowballing 1,2018,https://aclanthology.org/C18-1301/
Development and Evaluation of Digital Assembly Instructions,forward snowballing 2,2020,
Development of Product Assembly Instructional Video for training purpose,backward snowballing 2,2020,10.1088/1742-6596/1716/1/012027
Semi-automatic extraction of digital work instructions from CAD models,forward snowballing 2,2021,10.1016/j.procir.2020.05.202
Digitalisation Concept for Personalised Assembly Information at Volvo Cars,forward snowballing 2,2024,
Presenting Technical Information: a Survey of Research Findings,backward snowballing 2,1977,10.1016/0003-6870(77)90196-x
Delivering instructions for inherently-3D construction tasks: lessons and questions for universal accessibility,backward snowballing 2,2001,10.1145/564534.564540
A Pattern Language for the Design of Pictorial Assembly Instructions,forward snowballing 1,2013,10.1075/idj.20.2.03sch
Cognitive compatibility in modern manual mixed-model assembly systems,backward snowballing 1,2022,10.1007/s41449-021-00296-1
How to Design Assembly Instructions,initial,2022,10.54941/ahfe100838
Apex: An Experiment in the Automated Creation of Pictorial Explanations,backward snowballing 1,1985,10.1109/mcg.1985.276329
The design of illustrated documents as a planning task,backward snowballing 1,1991,http://dx.doi.org/10.22028/D291-24860
Automated Generation of Intent-Based 3D Illustrations,backward snowballing 1,1991,10.1145/127719.122732
AWI: a workbench for semi-automated illustration design,backward snowballing 1,1994,10.1145/192309.192326
"Interactive design, analysis, and illustration of assemblies",backward snowballing 1,1995,10.1145/199404.199409
Automatic graphical abstraction in intent-based 3D-illustrations,forward snowballing 2,1998,10.1145/948496.948504
Presenting Technical Drawings on Mobile Handhelds,forward snowballing 1,2007,10.4018/9781591405665.ch002
Generating Human Work Instructions from Assembly Plans,backward snowballing 1,2018,https://eprints.sztaki.hu/9517/
Multi-Modal Visualization of Working Instructions for Assembly Operations,backward snowballing 1,2019,
Information assistance systems as preventive mediators between increasing customization and mental workload,forward snowballing 2,2022,10.3233/wor-211283
Instruction Generation for Assembly Operations Performed by Humans,initial,2012,10.1115/detc2012-71266
